Product Name,Price
Samsung Galaxy Z Fold 6,"Rs. 604,999"
Samsung Galaxy Z Flip 6,"Rs. 384,999"
Infinix Zero 40,"Rs. 69,999"
Vivo Y28,"Rs. 49,999"
Oppo A3x,"Rs. 34,999"
Realme C61,"Rs. 32,999"
ZTE nubia Neo 2,"Rs. 54,999"
Tecno Phantom V2 Flip,"Rs. 299,999"
Tecno Phantom V Fold 2,"Rs. 369,999"
Oppo Reno 12,"Rs. 159,999"
Oppo Reno 12F 5G,"Rs. 99,999"
Oppo Reno 12F,"Rs. 69,999"
Realme C63 8GB,"Rs. 44,999"
Xiaomi Redmi 13,"Rs. 42,999"
Realme C65,"Rs. 49,999"
itel S23 Plus,"Rs. 44,999"
Dcode Bold 3 Pro,"Rs. 42,999"
Realme C67,"Rs. 44,999"
ZTE nubia V60,"Rs. 30,999"
Sparx Ultra 8 Pro,"Rs. 39,599"
Vivo Y18,"Rs. 38,499"
Realme C63,"Rs. 39,999"
Vivo Y03 128GB,"Rs. 30,999"
itel S24 256GB,"Rs. 37,499"
Dcode Cygnal 4 Lite,"Rs. 23,999"
Sparx Neo 8 Plus,"Rs. 22,999"
itel A50 8GB,"Rs. 21,999"
Realme Note 50 128GB,"Rs. 27,499"
ZTE Blade A55,"Rs. 20,999"
Vivo Y03t,"Rs. 27,999"
Sparx Neo 5 Pro,"Rs. 18,499"
itel A50,"Rs. 19,999"
Infinix Smart 7 HD,"Rs. 18,999"
Sparx Neo 6 Plus,"Rs. 19,499"
ZTE Blade A54,"Rs. 19,999"
Qmobile Qsmart Blaze,"Rs. 18,999"
Nokia 105 Classic,"Rs. 3,999"
itel Super Guru 600,"Rs. 4,499"
itel it2165,"Rs. 2,199"
Nokia 130 2023,"Rs. 6,599"
Nokia 106 2023,"Rs. 4,799"
Nokia 110 2023,"Rs. 5,799"
Realme Note 60,"
Expected Price Rs. 59,999 "
Realme GT 6,"
Expected Price Rs. 124,999 "
Vivo V40,"
Expected Price Rs. 144,999 "
Vivo V40 SE,"
Expected Price Rs. 104,999 "
itel P40 Plus,"
Expected Price Rs. 27,999 "
